Sequência   Nível
seq193	baixa
seq194	moderada
seq195	moderada
seq196	nula
seq197	alta
seq198	nula
seq199	alta
seq200	nula
seq201	moderada
seq202	baixa
seq203	baixa
seq204	moderada
seq205	moderada
seq206	baixa
seq207	baixa
seq208	moderada
seq209	moderada
seq210	baixa
seq211	moderada
seq212	baixa
seq213	nula
seq214	moderada
seq215	moderada
seq216	nula
seq217	baixa
seq218	moderada
seq219	moderada
seq220	moderada
seq221	baixa
seq222	baixa
seq223	alta
seq224	baixa
seq225	baixa
seq226	baixa
seq227	moderada
seq228	moderada
seq229	nula
seq230	moderada
seq231	nula
seq232	moderada
seq233	baixa
seq234	baixa
seq235	alta
seq236	baixa
seq237	baixa
seq238	baixa
seq239	moderada
seq240	baixa
seq241	baixa
seq242	nula
seq243	baixa
seq244	alta
seq245	alta
seq246	alta
seq247	alta
seq248	baixa
seq249	moderada
seq250	moderada
seq251	baixa
seq252	moderada
seq253	baixa
seq254	baixa
seq255	nula
seq256	alta
seq257	moderada
seq258	moderada
seq259	moderada
seq260	baixa
seq261	baixa
seq262	moderada
seq263	nula
seq264	alta
seq265	nula
seq266	alta
seq267	alta
seq268	moderada
seq269	baixa
seq270	alta
seq271	nula
seq272	nula
seq273	nula
seq274	baixa
seq275	baixa
seq276	baixa
seq277	alta
seq278	alta
seq279	moderada
seq280	nula
seq281	moderada
seq282	baixa
seq283	baixa
seq284	alta
seq285	moderada
seq286	moderada
seq287	moderada
seq288	moderada
seq289	baixa
seq290	nula
seq291	alta
seq292	moderada
seq293	nula
seq294	alta
seq295	baixa
seq296	alta
seq297	baixa
seq298	moderada
seq299	moderada
seq300	baixa
seq301	nula
seq302	baixa
seq303	baixa
seq304	alta
seq305	alta
seq306	alta
seq307	moderada
seq308	alta
seq309	baixa
seq310	moderada
seq311	moderada
seq312	moderada
seq313	baixa
seq314	moderada
seq315	alta
seq316	baixa
seq317	moderada
seq318	nula
seq319	baixa
seq320	moderada
seq321	moderada
seq322	baixa
seq323	nula
seq324	baixa
seq325	moderada
seq326	moderada
seq327	moderada
seq328	nula
seq329	baixa
seq330	baixa
seq331	baixa
seq332	moderada
seq333	baixa
seq334	moderada
seq335	alta
seq336	moderada
seq337	alta
seq338	moderada
seq339	moderada
seq340	alta
seq341	baixa
seq342	moderada
seq343	baixa
seq344	alta
seq345	moderada
seq346	moderada
seq347	baixa
seq348	nula
seq349	baixa
seq350	baixa
seq351	nula
seq352	moderada
seq353	nula
seq354	moderada
seq355	baixa
seq356	alta
seq357	baixa
seq358	moderada
seq359	baixa
seq360	alta
seq361	alta
seq362	baixa
seq363	nula
seq364	nula
seq365	baixa
seq366	alta
seq367	alta
seq368	alta
seq369	baixa
seq370	alta
seq371	moderada
seq372	alta
seq373	baixa
seq374	moderada
seq375	baixa
seq376	baixa
seq377	baixa
seq378	baixa
seq379	baixa
seq380	moderada
seq381	moderada
seq382	moderada
seq383	moderada
seq384	moderada
seq385	baixa
seq386	baixa
seq387	baixa
seq388	moderada
seq389	moderada
seq390	moderada
seq391	nula
seq392	baixa
seq393	alta
seq394	baixa
seq395	baixa
seq396	baixa
seq397	alta
seq398	baixa
seq399	baixa
seq400	baixa
seq401	moderada
seq402	nula
seq403	moderada
seq404	baixa
seq405	baixa
seq406	moderada
seq407	moderada
seq408	moderada
seq409	baixa
seq410	nula
seq411	alta
seq412	baixa
seq413	moderada
seq414	moderada
seq415	moderada
seq416	baixa
seq417	moderada
seq418	baixa
seq419	baixa
seq420	moderada
seq421	nula
seq422	baixa
seq423	moderada
seq424	moderada
seq425	baixa
seq426	nula
seq427	moderada
seq428	baixa
seq429	baixa
seq430	moderada
seq431	baixa
seq432	moderada
seq433	baixa
seq434	baixa
seq435	baixa
seq436	baixa
seq437	alta
seq438	moderada
seq439	baixa
seq440	baixa
seq441	moderada
seq442	baixa
seq443	moderada
seq444	baixa
seq445	baixa
seq446	baixa
seq447	moderada
seq448	moderada
seq449	moderada
seq450	nula
seq451	baixa
seq452	alta
seq453	alta
seq454	baixa
seq455	baixa
seq456	moderada
seq457	baixa
seq458	baixa
seq459	alta
seq460	moderada
seq461	moderada
seq462	baixa
seq463	alta
seq464	alta
seq465	baixa
seq466	baixa
seq467	baixa
seq468	moderada
seq469	alta
seq470	nula
seq471	nula
seq472	moderada
seq473	baixa
seq474	moderada
seq475	baixa
seq476	moderada
seq477	alta
seq478	moderada
seq479	moderada
seq480	baixa
seq481	baixa
seq482	alta
seq483	moderada
seq484	moderada
seq485	nula
seq486	baixa
seq487	nula
seq488	nula
seq489	moderada
seq490	alta
seq491	nula
seq492	baixa
seq493	alta
seq494	nula
seq495	baixa
seq496	moderada
seq497	baixa
seq498	baixa
seq499	moderada
seq500	baixa
